Latitude;Longitude;OBJECTID;PONTO_RECOLHA_LOCAL;CONTENTOR_RESÍDUO;CONTENTOR_TOTAL_LITROS
-9.151388528;38.70792751;448;15831: Bqr do Duro (Ambos (45->59)(34->54): R Cais do Tojo - R Dom Luis I);Lixos;240
-9.151388528;38.70792751;449;15831: Bqr do Duro (Ambos (45->59)(34->54): R Cais do Tojo - R Dom Luis I);Lixos;90
-9.151388528;38.70792751;450;15831: Bqr do Duro (Ambos (45->59)(34->54): R Cais do Tojo - R Dom Luis I);Lixos;280
-9.151388528;38.70792751;451;15831: Bqr do Duro (Ambos (45->59)(34->54): R Cais do Tojo - R Dom Luis I);Lixos;720
-9.147513949;38.71033931;452;15832: Tv Santa Catarina, 4-6;Lixos;240
-9.147513949;38.71033931;453;15832: Tv Santa Catarina, 4-6;Lixos;240
-9.147513949;38.71033931;454;15832: Tv Santa Catarina, 4-6;Vidro;240
-9.148566019;38.70994283;455;15833: R Ferreiros a Santa Catarina, 20;Lixos;720
-9.148566019;38.70994283;456;15833: R Ferreiros a Santa Catarina, 20;Lixos;720
-9.150464329;38.70680059;457;15834: R Instituto Industrial (Ambos (1->5)(2->14): Av 24 de Julho - R Dom Luis I);Lixos;140
-9.150464329;38.70680059;458;15834: R Instituto Industrial (Ambos (1->5)(2->14): Av 24 de Julho - R Dom Luis I);Lixos;1920
-9.15054864;38.70788079;459;15836: R Instituto Industrial (Ambos (7->9)(16->22): R Dom Luis I - R da Boavista);Lixos;5520
-9.15054864;38.70788079;460;15836: R Instituto Industrial (Ambos (7->9)(16->22): R Dom Luis I - R da Boavista);Lixos;140
-9.148518124;38.70980813;461;15838: R Santa Catarina, 19;Lixos;960
-9.148518124;38.70980813;462;15838: R Santa Catarina, 19;Lixos;960
-9.147044252;38.70801938;463;15841: R Moeda (Ambos (1->11)(2->6): R Sao Paulo - Pc Dom Luis I);Lixos;2160
-9.147044252;38.70801938;464;15841: R Moeda (Ambos (1->11)(2->6): R Sao Paulo - Pc Dom Luis I);Lixos;700
-9.147044252;38.70801938;465;15841: R Moeda (Ambos (1->11)(2->6): R Sao Paulo - Pc Dom Luis I);Lixos;2160
-9.147044252;38.70801938;466;15841: R Moeda (Ambos (1->11)(2->6): R Sao Paulo - Pc Dom Luis I);Lixos;700
-9.146144218;38.70778398;467;15842: Tv Carvalho (Ambos (->)(->): R Ribeira Nova - Tv Carvalho);Lixos;90
-9.146144218;38.70778398;468;15842: Tv Carvalho (Ambos (->)(->): R Ribeira Nova - Tv Carvalho);Lixos;90
-9.145639847;38.70788744;469;15843: Tv Carvalho (Ambos (->)(->): Tv Carvalho - Pc Sao Paulo);Lixos;90
-9.145639847;38.70788744;470;15843: Tv Carvalho (Ambos (->)(->): Tv Carvalho - Pc Sao Paulo);Lixos;560
-9.145639847;38.70788744;471;15843: Tv Carvalho (Ambos (->)(->): Tv Carvalho - Pc Sao Paulo);Lixos;480
-9.145639847;38.70788744;472;15843: Tv Carvalho (Ambos (->)(->): Tv Carvalho - Pc Sao Paulo);Papel e Cartao;90
-9.145639847;38.70788744;473;15843: Tv Carvalho (Ambos (->)(->): Tv Carvalho - Pc Sao Paulo);Papel e Cartao;280
-9.145988636;38.70816366;474;15844: Tv Carvalho (Ambos (->)(->): Tv Carvalho - R Sao Paulo);Lixos;140
-9.145988636;38.70816366;475;15844: Tv Carvalho (Ambos (->)(->): Tv Carvalho - R Sao Paulo);Lixos;140
-9.151993526;38.70762498;476;15845: R Dom Luis I (Ambos (43->55)(30->42): Av Dom Carlos I - Bqr do Duro);Lixos;120
-9.151993526;38.70762498;477;15845: R Dom Luis I (Ambos (43->55)(30->42): Av Dom Carlos I - Bqr do Duro);Lixos;4800
-9.150935625;38.70760718;478;15846: R Dom Luis I (Ambos (23->27)(28->28): Bqr do Duro - R Instituto Industrial);Lixos;1200
-9.149935581;38.7076159;479;15847: R Dom Luis I (Ambos (19->21)(16->22): R Instituto Industrial - Bqr dos Ferreiros);Lixos;4320
-9.149935581;38.7076159;480;15847: R Dom Luis I (Ambos (19->21)(16->22): R Instituto Industrial - Bqr dos Ferreiros);Lixos;120
-9.148290555;38.70754014;481;15848: R Dom Luis I (Ambos (1->7)(2->12): Bqr dos Ferreiros - Pc Dom Luis I);Lixos;3120
-9.148290555;38.70754014;482;15848: R Dom Luis I (Ambos (1->7)(2->12): Bqr dos Ferreiros - Pc Dom Luis I);Lixos;4400
-9.148290555;38.70754014;483;15848: R Dom Luis I (Ambos (1->7)(2->12): Bqr dos Ferreiros - Pc Dom Luis I);Lixos;120
-9.148290555;38.70754014;484;15848: R Dom Luis I (Ambos (1->7)(2->12): Bqr dos Ferreiros - Pc Dom Luis I);Lixos;90
-9.147146202;38.70709969;485;15849: Pc Dom Luis I (Ambos (1->27)(->): R Dom Luis I - Av 24 de Julho);Lixos;960
-9.148353992;38.71039507;486;15850: Tv Condessa do Rio, Fte 3;Lixos;720
-9.148353992;38.71039507;487;15850: Tv Condessa do Rio, Fte 3;Lixos;720
-9.148353992;38.71039507;488;15850: Tv Condessa do Rio, Fte 3;Embalagens;240
-9.146715901;38.70756283;489;15851: Pc Dom Luis I (Ambos (29->34)(->): R Ribeira Nova - R Dom Luis I);Lixos;240
-9.146715901;38.70756283;490;15851: Pc Dom Luis I (Ambos (29->34)(->): R Ribeira Nova - R Dom Luis I);Lixos;280
-9.146715901;38.70756283;491;15851: Pc Dom Luis I (Ambos (29->34)(->): R Ribeira Nova - R Dom Luis I);Papel e Cartao;280
-9.144930015;38.70728106;494;15852: R Ribeira Nova (Ambos (1->)(2->20): R Remolares - R Instituto Dona Amelia);Lixos;140
-9.144930015;38.70728106;495;15852: R Ribeira Nova (Ambos (1->)(2->20): R Remolares - R Instituto Dona Amelia);Lixos;120
-9.144930015;38.70728106;496;15852: R Ribeira Nova (Ambos (1->)(2->20): R Remolares - R Instituto Dona Amelia);Lixos;90
-9.144930015;38.70728106;492;15852: R Ribeira Nova (Ambos (1->)(2->20): R Remolares - R Instituto Dona Amelia);Lixos;240
-9.144930015;38.70728106;493;15852: R Ribeira Nova (Ambos (1->)(2->20): R Remolares - R Instituto Dona Amelia);Papel e Cartao;240
-9.145853665;38.7075613;497;15853: R Ribeira Nova (Ambos (->)(22->64): R Instituto Dona Amelia - Pc Dom Luis I);Lixos;120
-9.145853665;38.7075613;498;15853: R Ribeira Nova (Ambos (->)(22->64): R Instituto Dona Amelia - Pc Dom Luis I);Lixos;420
-9.145853665;38.7075613;499;15853: R Ribeira Nova (Ambos (->)(22->64): R Instituto Dona Amelia - Pc Dom Luis I);Lixos;90
-9.145853665;38.7075613;500;15853: R Ribeira Nova (Ambos (->)(22->64): R Instituto Dona Amelia - Pc Dom Luis I);Lixos;480
-9.145853665;38.7075613;501;15853: R Ribeira Nova (Ambos (->)(22->64): R Instituto Dona Amelia - Pc Dom Luis I);Papel e Cartao;680
-9.145853665;38.7075613;502;15853: R Ribeira Nova (Ambos (->)(22->64): R Instituto Dona Amelia - Pc Dom Luis I);Papel e Cartao;90
-9.145853665;38.7075613;503;15853: R Ribeira Nova (Ambos (->)(22->64): R Instituto Dona Amelia - Pc Dom Luis I);Papel e Cartao;720
-9.14350797;38.70752758;504;15855: R Sao Paulo (Par (->)(2->58): R Corpo Santo - R Flores);Lixos;720
-9.14350797;38.70752758;505;15855: R Sao Paulo (Par (->)(2->58): R Corpo Santo - R Flores);Lixos;120
-9.14350797;38.70752758;506;15855: R Sao Paulo (Par (->)(2->58): R Corpo Santo - R Flores);Lixos;700
-9.14350797;38.70752758;507;15855: R Sao Paulo (Par (->)(2->58): R Corpo Santo - R Flores);Lixos;720
-9.14350797;38.70752758;508;15855: R Sao Paulo (Par (->)(2->58): R Corpo Santo - R Flores);Lixos;120
-9.14350797;38.70752758;509;15855: R Sao Paulo (Par (->)(2->58): R Corpo Santo - R Flores);Lixos;700
-9.144154727;38.70773817;510;15856: R Sao Paulo (Par (->)(60->82): R Flores - Pc Sao Paulo);Lixos;960
-9.144154727;38.70773817;511;15856: R Sao Paulo (Par (->)(60->82): R Flores - Pc Sao Paulo);Lixos;280
-9.144154727;38.70773817;512;15856: R Sao Paulo (Par (->)(60->82): R Flores - Pc Sao Paulo);Lixos;120
-9.144154727;38.70773817;513;15856: R Sao Paulo (Par (->)(60->82): R Flores - Pc Sao Paulo);Lixos;960
-9.144154727;38.70773817;514;15856: R Sao Paulo (Par (->)(60->82): R Flores - Pc Sao Paulo);Lixos;280
-9.144154727;38.70773817;515;15856: R Sao Paulo (Par (->)(60->82): R Flores - Pc Sao Paulo);Lixos;120
-9.144188704;38.70770185;516;15857: R Sao Paulo (Impar (49->69)(->): Pc Sao Paulo - Tv dos Remolares);Lixos;240
-9.144188704;38.70770185;517;15857: R Sao Paulo (Impar (49->69)(->): Pc Sao Paulo - Tv dos Remolares);Lixos;140
-9.144188704;38.70770185;518;15857: R Sao Paulo (Impar (49->69)(->): Pc Sao Paulo - Tv dos Remolares);Lixos;240
-9.144188704;38.70770185;519;15857: R Sao Paulo (Impar (49->69)(->): Pc Sao Paulo - Tv dos Remolares);Lixos;140
-9.144188704;38.70770185;520;15857: R Sao Paulo (Impar (49->69)(->): Pc Sao Paulo - Tv dos Remolares);Papel e Cartao;140
-9.14351883;38.70748245;521;15858: R Sao Paulo (Impar (1->47)(->): Tv dos Remolares - Tv Corpo Santo);Lixos;90
-9.14351883;38.70748245;522;15858: R Sao Paulo (Impar (1->47)(->): Tv dos Remolares - Tv Corpo Santo);Lixos;420
-9.14351883;38.70748245;523;15858: R Sao Paulo (Impar (1->47)(->): Tv dos Remolares - Tv Corpo Santo);Lixos;240
-9.14351883;38.70748245;524;15858: R Sao Paulo (Impar (1->47)(->): Tv dos Remolares - Tv Corpo Santo);Lixos;90
-9.14351883;38.70748245;525;15858: R Sao Paulo (Impar (1->47)(->): Tv dos Remolares - Tv Corpo Santo);Lixos;420
-9.14351883;38.70748245;526;15858: R Sao Paulo (Impar (1->47)(->): Tv dos Remolares - Tv Corpo Santo);Lixos;240
-9.144754745;38.70789511;527;15859: R Sao Paulo (Ambos (->)(88->118): Pc Sao Paulo - Pc Sao Paulo);Lixos;270
-9.144754745;38.70789511;528;15859: R Sao Paulo (Ambos (->)(88->118): Pc Sao Paulo - Pc Sao Paulo);Lixos;700
-9.144754745;38.70789511;529;15859: R Sao Paulo (Ambos (->)(88->118): Pc Sao Paulo - Pc Sao Paulo);Lixos;480
-9.144754745;38.70789511;530;15859: R Sao Paulo (Ambos (->)(88->118): Pc Sao Paulo - Pc Sao Paulo);Lixos;270
-9.144754745;38.70789511;531;15859: R Sao Paulo (Ambos (->)(88->118): Pc Sao Paulo - Pc Sao Paulo);Lixos;700
-9.144754745;38.70789511;532;15859: R Sao Paulo (Ambos (->)(88->118): Pc Sao Paulo - Pc Sao Paulo);Lixos;480
-9.144754745;38.70789511;533;15859: R Sao Paulo (Ambos (->)(88->118): Pc Sao Paulo - Pc Sao Paulo);Papel e Cartao;140
-9.145528588;38.70814963;534;15860: R Sao Paulo (Ambos (71->77)(120->178): Pc Sao Paulo - Tv Carvalho);Lixos;270
-9.145528588;38.70814963;535;15860: R Sao Paulo (Ambos (71->77)(120->178): Pc Sao Paulo - Tv Carvalho);Lixos;720
-9.145528588;38.70814963;536;15860: R Sao Paulo (Ambos (71->77)(120->178): Pc Sao Paulo - Tv Carvalho);Lixos;1540
-9.145528588;38.70814963;537;15860: R Sao Paulo (Ambos (71->77)(120->178): Pc Sao Paulo - Tv Carvalho);Lixos;240
-9.145528588;38.70814963;538;15860: R Sao Paulo (Ambos (71->77)(120->178): Pc Sao Paulo - Tv Carvalho);Lixos;270
-9.145528588;38.70814963;539;15860: R Sao Paulo (Ambos (71->77)(120->178): Pc Sao Paulo - Tv Carvalho);Lixos;720
-9.145528588;38.70814963;540;15860: R Sao Paulo (Ambos (71->77)(120->178): Pc Sao Paulo - Tv Carvalho);Lixos;1540
-9.145528588;38.70814963;541;15860: R Sao Paulo (Ambos (71->77)(120->178): Pc Sao Paulo - Tv Carvalho);Lixos;240
-9.145528588;38.70814963;542;15860: R Sao Paulo (Ambos (71->77)(120->178): Pc Sao Paulo - Tv Carvalho);Papel e Cartao;480
-9.146060151;38.70834319;543;15861: R Sao Paulo (Ambos (79->87)(180->198): Tv Carvalho - Bc da Moeda);Lixos;700
-9.146060151;38.70834319;544;15861: R Sao Paulo (Ambos (79->87)(180->198): Tv Carvalho - Bc da Moeda);Lixos;180
-9.146060151;38.70834319;545;15861: R Sao Paulo (Ambos (79->87)(180->198): Tv Carvalho - Bc da Moeda);Lixos;120
-9.146060151;38.70834319;546;15861: R Sao Paulo (Ambos (79->87)(180->198): Tv Carvalho - Bc da Moeda);Lixos;700
-9.146060151;38.70834319;547;15861: R Sao Paulo (Ambos (79->87)(180->198): Tv Carvalho - Bc da Moeda);Lixos;180
-9.146060151;38.70834319;548;15861: R Sao Paulo (Ambos (79->87)(180->198): Tv Carvalho - Bc da Moeda);Lixos;120
-9.146348797;38.70843077;549;15862: R Sao Paulo (Ambos (89->)(200->216): Bc da Moeda - Cc da Bica Grande);Lixos;90
-9.146348797;38.70843077;550;15862: R Sao Paulo (Ambos (89->)(200->216): Bc da Moeda - Cc da Bica Grande);Lixos;280
-9.146348797;38.70843077;551;15862: R Sao Paulo (Ambos (89->)(200->216): Bc da Moeda - Cc da Bica Grande);Lixos;90
-9.146348797;38.70843077;552;15862: R Sao Paulo (Ambos (89->)(200->216): Bc da Moeda - Cc da Bica Grande);Lixos;280
-9.14664843;38.70848221;553;15863: R Sao Paulo (Ambos (->)(218->226): Cc da Bica Grande - R Moeda);Lixos;240
-9.14664843;38.70848221;554;15863: R Sao Paulo (Ambos (->)(218->226): Cc da Bica Grande - R Moeda);Lixos;140
-9.14664843;38.70848221;555;15863: R Sao Paulo (Ambos (->)(218->226): Cc da Bica Grande - R Moeda);Lixos;240
-9.14664843;38.70848221;556;15863: R Sao Paulo (Ambos (->)(218->226): Cc da Bica Grande - R Moeda);Lixos;140
-9.146958664;38.70847051;563;15864: R Sao Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;960
-9.146958664;38.70847051;564;15864: R Sao Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;560
-9.146958664;38.70847051;557;15864: R Sao Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;90
-9.146958664;38.70847051;558;15864: R Sao Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;120
-9.146958664;38.70847051;559;15864: R Sao Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;960
-9.146958664;38.70847051;560;15864: R Sao Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;560
-9.146958664;38.70847051;561;15864: R Sao Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;90
